10/06/2020 13:41,2.768,6.333,8.811,154.8,16.69,6.827
10/06/2020 14:41,3.404,6.107,7.844,148.9,17.83,4.651
10/06/2020 15:41,2.653,6.384,8.336,155,17.06,4.404
10/06/2020 16:41,2.648,6.227,9.509,151.7,14.63,6.719
10/06/2020 17:41,2.6,6.194,9.358,149.8,14.86,4.531
10/06/2020 18:41,2.076,6.338,9.806,155.2,15.8,5.08
10/06/2020 19:41,2.604,6.209,10.17,148.6,15.38,5.436
10/06/2020 20:41,2.671,6.104,9.775,147.8,14.7,6.866
10/06/2020 21:41,2.296,6.032,9.945,146.5,14.73,5.33
10/06/2020 22:41,3.035,6.155,11.33,150.2,14.64,5.006
10/06/2020 23:41,3.128,6.198,11.12,151.9,14.8,5.589
11/06/2020 00:41,2.808,6.238,11.21,153.8,15.69,5.407
11/06/2020 01:41,2.641,6.13,11.41,152.4,17.46,3.683
11/06/2020 02:41,2.68,5.977,11.23,147.4,13.56,6.099
11/06/2020 03:41,2.681,6.095,11.32,150.2,15.97,4.921
11/06/2020 04:41,2.953,6.044,11.79,149.7,15.71,5.18
11/06/2020 05:41,2.399,6.059,11.88,149.1,16.68,4.28
11/06/2020 06:41,2.365,6.021,12.14,148.5,16.04,4.837
11/06/2020 07:41,2.81,6.188,11.69,153,15.2,4.916
11/06/2020 08:41,2.562,6.119,11.79,152.5,15.42,4.743
11/06/2020 09:41,2.494,5.923,11.9,148.8,15.3,4.656
11/06/2020 11:41,2.27,5.738,11.37,148.2,14.57,5.001
11/06/2020 12:41,2.596,6.071,12.06,153.2,14.69,4.714
11/06/2020 13:41,2.587,5.845,11.81,147,14.41,5.18
11/06/2020 14:41,2.416,6.121,12.22,152.9,14.96,4.552
11/06/2020 15:41,2.831,6.076,12.47,154.8,12.69,6.326
11/06/2020 16:41,2.151,6.099,13.09,156.3,18.7,1.575
11/06/2020 17:41,3.252,5.836,12.38,149.7,15.21,3.316
11/06/2020 18:41,2.958,5.841,12.65,150.8,14.07,5.751
11/06/2020 19:41,2.911,5.939,12.42,152,15.51,4.921
11/06/2020 20:41,2.365,5.986,12.81,150.8,15.77,4.875
11/06/2020 21:41,2.81,5.943,12.07,151.2,15.81,4.614
11/06/2020 22:41,2.459,5.909,12.26,150.8,14.89,5.203
11/06/2020 23:41,2.415,5.897,12.5,151.1,16.2,5.078
12/06/2020 00:41,2.358,6.048,12.47,154.9,16.99,4.837
12/06/2020 01:41,2.5,5.832,12.24,150,15.94,4.846
12/06/2020 02:41,3.121,6.019,11.9,155.4,15.12,6.357
12/06/2020 03:41,2.778,5.755,12,149.4,14.65,6.384
12/06/2020 04:41,2.952,5.841,11.95,150.7,15.92,5.576
12/06/2020 05:41,2.668,5.764,11.56,148.7,14.81,5.652
12/06/2020 06:41,2.599,5.777,11.68,150.6,15.41,4.524
12/06/2020 07:41,2.238,5.956,12.16,154.4,16.32,3.973
12/06/2020 08:41,2.634,5.882,11,151.7,14.01,6.618
12/06/2020 09:41,2.556,5.993,11.41,153.5,14.32,6.803
12/06/2020 11:41,2.618,5.839,11.14,153.3,14.68,6.036
12/06/2020 12:42,2.71,5.98,10.14,152.6,13.56,7.03
12/06/2020 13:41,2.554,6.037,10.51,157.1,13.48,6.273
12/06/2020 14:42,2.526,6.049,11.03,156.3,15.52,6.505
12/06/2020 15:41,2.629,6.029,10.35,154.8,13.64,6.808
12/06/2020 16:41,2.665,6.1,10.42,156.4,12.89,7.63
12/06/2020 17:41,2.655,6.102,10.26,156.4,14.2,6.693
12/06/2020 18:41,2.62,5.976,10.05,151.4,15.26,5.723
12/06/2020 19:41,2.621,6.171,10.39,155.6,15.39,6.566
12/06/2020 20:41,2.695,5.928,9.955,150.9,15.54,6.441
12/06/2020 21:41,2.886,6,9.137,154.8,13.01,7.658
12/06/2020 22:41,2.529,6.029,8.787,153.4,14.23,6.695
12/06/2020 23:41,2.827,5.98,8.697,151.8,14.17,7.155
13/06/2020 00:41,2.499,5.871,8.77,150.9,12.79,7.825
13/06/2020 01:41,2.392,5.844,8.755,151.8,12.97,7.389
13/06/2020 02:41,2.273,5.851,9.032,153.8,13.82,6.759
13/06/2020 03:41,2.651,5.832,9.193,151.4,12.92,7.588
13/06/2020 04:41,2.737,5.797,9.03,151.6,13.16,6.886
13/06/2020 05:41,2.783,5.804,8.629,151.9,14.08,6.81
13/06/2020 06:41,2.178,6.063,9.695,155.9,12.98,7.197
13/06/2020 07:41,2.344,5.991,9.249,155.2,12.45,7.066
13/06/2020 08:41,2.376,5.756,9.25,149.9,12.36,7.299
13/06/2020 09:41,2.838,5.995,9.953,155.9,13.89,6.505
13/06/2020 11:41,2.275,6.054,9.673,156.4,13.7,6.347
13/06/2020 12:41,2.909,5.948,7.989,151.6,12.43,7.03
13/06/2020 13:41,2.835,5.851,9.122,152.5,13.74,4.838
13/06/2020 14:41,2.862,5.796,8.635,150.8,11.76,7.278
13/06/2020 15:41,2.425,5.813,9.733,150.7,13.99,6.037
13/06/2020 16:41,2.731,5.884,8.982,151.9,10.47,7.756
13/06/2020 17:41,2.841,5.87,9.748,151.4,13.39,6.235
13/06/2020 18:41,2.739,5.846,8.176,151.3,10.79,8.914
13/06/2020 19:41,2.855,5.837,9.327,152.2,11.91,7.181
13/06/2020 20:41,2.492,5.824,9.265,152.9,12.17,7.072
13/06/2020 21:41,2.613,5.98,8.967,156,12.65,6.61
13/06/2020 22:41,3.204,5.866,8.764,153.7,9.588,8.992
13/06/2020 23:41,2.367,5.782,9.295,152.1,10.82,7.984
14/06/2020 00:41,2.54,5.748,9.233,151.2,11.14,7.48
14/06/2020 01:41,2.65,5.938,9.601,156.9,12.73,6.847
14/06/2020 02:41,2.105,5.723,9.403,150.6,11.16,7.626
